"Id_accident";"Lettre Conventionnelle Véhicule";"Année";"Lieu Admin Actuel - Territoire Nom";"Type Accident - Libellé (old)";"CNIT";"Catégorie véhicule";"Age véhicule"
"89 742";"A";"2021";"Métropole";"Accident grave non mortel";"M10AUDVP0455119";"VT";"1"
"89 742";"B";"2021";"Métropole";"Accident grave non mortel";"MFD50E2C3146";"VT";"14"
"89 742";"C";"2021";"Métropole";"Accident grave non mortel";"N10MCDCTPS6S049";"VU";"5"
"89 744";"A";"2021";"DOM";"Accident Léger";"L3EAPRM1000R519";"Moto lourde";"0"
"89 745";"A";"2021";"DOM";"Accident Léger";"N/A";"VT";"6"
"89 745";"B";"2021";"DOM";"Accident Léger";"M10MCWVPBF8U581";"VT";"0"
"89 746";"A";"2021";"DOM";"Accident Léger";"MPE5201K9748";"VT";"17"
"89 747";"A";"2021";"Autres OM";"Accident Léger";"MRE1012EE457";"VT";"17"
"89 747";"B";"2021";"Autres OM";"Accident Léger";"M10VWGVPH573984";"VT";"4"
"89 748";"A";"2021";"Métropole";"Accident grave non mortel";"LKW1AL40Y241";"Moto lourde";"13"
"89 748";"B";"2021";"Métropole";"Accident grave non mortel";"N/A";"Moto lourde";"24"
"89 749";"A";"2021";"Métropole";"Accident grave non mortel";"L3EHNDM2000V593";"Moto lourde";"4"
"89 749";"B";"2021";"Métropole";"Accident grave non mortel";"M10FRDVP272D261";"VT";"2"
